onset	duration	trial_type	response_time	stim_file	accuracy
43.572	1.0	go	0.511	Go_X	0.0
46.105	1.0	go	0.29	Go_O	1.0
48.639	1.0	go	0.506	Go_X	1.0
51.172	1.0	go	0.37	Go_O	1.0
53.705	1.0	go	0.359	Go_O	1.0
56.238	1.0	go	0.302	Go_X	1.0
58.772	0.25	stopfail	0.375	Go_O	0.0
61.305	1.0	go	0.335	Go_O	1.0
63.838	0.2	stopfail	0.318	Go_X	0.0
66.371	1.0	go	0.574	Go_X	1.0
68.905	1.0	go	0.482	Go_O	1.0
71.454	1.0	go	0.434	Go_X	1.0
73.988	0.15	stopfail	0.311	Go_O	0.0
76.521	1.0	go	0.568	Go_O	1.0
79.054	1.0	go	0.388	Go_X	1.0
81.587	0.1	stopsuccess	0.0	Go_X	1.0
84.121	0.15	stopfail	0.334	Go_O	0.0
86.654	1.0	go	0.46	Go_X	1.0
89.187	1.0	go	0.367	Go_O	1.0
91.72	0.1	stopsuccess	0.0	Go_X	1.0
94.254	1.0	go	0.447	Go_X	1.0
96.803	1.0	go	0.492	Go_O	1.0
99.337	0.15	stopsuccess	0.0	Go_O	1.0
101.87	1.0	go	0.281	Go_O	1.0
104.403	1.0	go	0.581	Go_X	1.0
106.936	0.2	stopsuccess	0.0	Go_X	1.0
109.47	1.0	go	0.328	Go_O	1.0
112.003	1.0	go	0.532	Go_X	1.0
114.536	0.25	stopfail	0.427	Go_O	0.0
117.069	1.0	go	0.452	Go_O	1.0
119.602	1.0	go	0.361	Go_X	1.0
122.136	1.0	go	0.339	Go_O	1.0
124.669	1.0	go	0.285	Go_X	1.0
127.202	1.0	go	0.484	Go_X	1.0
129.735	0.2	stopfail	0.376	Go_X	0.0
132.269	1.0	go	0.309	Go_O	1.0
134.802	1.0	go	0.282	Go_O	1.0
137.335	1.0	go	0.435	Go_X	1.0
139.868	1.0	go	0.506	Go_X	1.0
142.402	1.0	go	0.366	Go_O	1.0
144.935	0.15	stopsuccess	0.0	Go_O	1.0
147.468	1.0	go	0.255	Go_O	1.0
150.001	1.0	go	0.463	Go_X	1.0
152.535	1.0	go	0.328	Go_O	1.0
155.084	1.0	go	0.318	Go_X	1.0
157.618	1.0	go	0.356	Go_X	1.0
160.151	1.0	go	0.391	Go_O	1.0
162.684	0.2	stopsuccess	0.0	Go_X	1.0
165.217	1.0	go	0.36	Go_O	1.0
167.751	1.0	go	0.447	Go_X	1.0
170.284	0.25	stopfail	0.374	Go_O	0.0
172.817	1.0	go	0.288	Go_O	1.0
175.35	0.2	stopsuccess	0.0	Go_X	1.0
177.884	0.25	stopfail	0.326	Go_O	0.0
180.433	1.0	go	0.372	Go_X	1.0
182.967	1.0	go	0.477	Go_X	1.0
185.5	1.0	go	0.315	Go_O	1.0
188.033	1.0	go	0.476	Go_O	1.0
190.566	0.2	stopsuccess	0.0	Go_X	1.0
193.1	1.0	go	0.46	Go_X	1.0
195.633	0.25	stopfail	0.363	Go_O	0.0
198.166	1.0	go	0.347	Go_X	1.0
200.699	1.0	go	0.419	Go_O	1.0
203.232	1.0	go	0.471	Go_X	1.0
205.766	1.0	go	0.359	Go_O	1.0
208.299	1.0	go	0.388	Go_X	1.0
210.832	1.0	go	0.489	Go_O	1.0
213.365	1.0	go	0.385	Go_O	1.0
215.899	1.0	go	0.328	Go_X	1.0
218.432	1.0	go	0.463	Go_X	1.0
220.965	0.2	stopfail	0.388	Go_X	0.0
223.498	1.0	go	0.451	Go_O	1.0
226.032	1.0	go	0.356	Go_X	1.0
228.565	1.0	go	0.321	Go_O	1.0
231.098	0.15	stopsuccess	0.0	Go_O	1.0
233.631	1.0	go	0.418	Go_O	1.0
236.165	1.0	go	0.33	Go_X	1.0
238.714	1.0	go	0.496	Go_X	1.0
241.248	1.0	go	0.39	Go_O	1.0
243.781	1.0	go	0.408	Go_O	1.0
246.314	1.0	go	0.609	Go_X	1.0
248.847	0.2	stopsuccess	0.0	Go_X	1.0
251.381	1.0	go	0.413	Go_X	1.0
253.914	1.0	go	0.299	Go_O	1.0
256.447	0.25	stopfail	0.413	Go_O	0.0
258.98	1.0	go	0.278	Go_O	0.0
261.513	1.0	go	0.306	Go_X	1.0
264.047	0.2	stopfail	0.373	Go_X	0.0
266.58	1.0	go	0.392	Go_O	1.0
269.113	0.15	stopsuccess	0.0	Go_O	1.0
271.646	1.0	go	0.43	Go_X	1.0
274.18	1.0	go	0.406	Go_X	1.0
276.713	1.0	go	0.451	Go_O	1.0
279.246	1.0	go	0.532	Go_O	1.0
281.779	1.0	go	0.491	Go_X	1.0
284.313	0.2	stopsuccess	0.0	Go_X	1.0
286.846	0.25	stopfail	0.291	Go_O	0.0
289.379	1.0	go	0.844	Go_O	0.0
291.912	1.0	go	0.373	Go_X	1.0
