onset	duration	trial_type	response_time	stim_file	accuracy
77.085	1.0	go	0.0	Go_X	0.0
79.61	1.0	go	0.249	Go_O	1.0
82.134	1.0	go	0.261	Go_X	1.0
84.658	1.0	go	0.263	Go_O	1.0
87.182	1.0	go	0.334	Go_X	1.0
89.706	1.0	go	0.234	Go_O	1.0
92.231	0.25	stop	0.478	Go_O	0.0
94.755	1.0	go	0.589	Go_X	1.0
97.279	0.2	stop	0.223	Go_X	0.0
99.803	1.0	go	0.247	Go_O	1.0
102.328	1.0	go	0.361	Go_O	1.0
104.852	1.0	go	0.422	Go_X	1.0
107.376	0.15	stop	0.0	Go_O	1.0
109.9	1.0	go	0.395	Go_X	1.0
112.424	1.0	go	0.289	Go_O	1.0
114.949	0.2	stop	0.309	Go_X	0.0
117.473	0.15	stop	0.345	Go_O	0.0
119.997	1.0	go	0.646	Go_X	1.0
122.521	1.0	go	0.307	Go_O	1.0
125.045	0.1	stop	0.0	Go_X	1.0
127.57	1.0	go	0.269	Go_O	1.0
130.094	1.0	go	0.438	Go_X	1.0
132.618	0.15	stop	0.241	Go_O	0.0
135.142	1.0	go	0.185	Go_X	1.0
137.667	1.0	go	0.258	Go_O	1.0
140.191	0.1	stop	0.245	Go_X	0.0
142.715	1.0	go	0.598	Go_X	1.0
145.239	1.0	go	0.233	Go_O	1.0
147.763	0.05	stop	0.25	Go_O	0.0
150.288	1.0	go	0.353	Go_O	1.0
152.812	1.0	go	0.285	Go_X	1.0
155.336	1.0	go	0.33	Go_O	1.0
157.86	1.0	go	0.247	Go_X	1.0
160.384	1.0	go	0.439	Go_X	1.0
162.909	0.0	stop	0.0	Go_X	1.0
165.45	1.0	go	0.418	Go_O	1.0
167.974	1.0	go	0.431	Go_X	1.0
170.498	1.0	go	0.478	Go_O	1.0
173.022	1.0	go	0.31	Go_X	1.0
175.546	1.0	go	0.254	Go_O	1.0
178.071	0.05	stop	0.0	Go_O	1.0
180.595	1.0	go	0.312	Go_O	1.0
183.119	1.0	go	0.406	Go_X	1.0
185.643	1.0	go	0.249	Go_O	1.0
188.168	1.0	go	0.258	Go_X	1.0
190.692	1.0	go	0.291	Go_O	1.0
