onset	duration	trial_type	response_time	stim_file	accuracy
38.1	1.0	go	0.941	Go_X	1.0
40.624	1.0	go	0.366	Go_O	1.0
43.148	1.0	go	0.396	Go_O	1.0
45.672	1.0	go	0.417	Go_X	1.0
48.197	1.0	go	0.645	Go_X	1.0
50.721	1.0	go	0.636	Go_O	1.0
53.245	0.25	stopsuccess	0.0	Go_O	1.0
55.769	1.0	go	0.386	Go_X	1.0
58.293	0.3	stopsuccess	0.0	Go_X	1.0
60.817	1.0	go	0.509	Go_O	1.0
63.342	1.0	go	0.637	Go_O	1.0
65.866	1.0	go	0.683	Go_X	1.0
68.39	0.35	stopfail	0.462	Go_O	0.0
70.914	1.0	go	0.524	Go_X	1.0
73.438	1.0	go	0.67	Go_O	1.0
75.962	0.3	stopsuccess	0.0	Go_X	1.0
78.487	0.35	stopfail	0.414	Go_O	0.0
81.011	1.0	go	0.434	Go_X	1.0
83.535	1.0	go	0.497	Go_O	1.0
86.059	0.3	stopsuccess	0.0	Go_X	1.0
88.583	1.0	go	0.453	Go_X	1.0
91.107	1.0	go	0.396	Go_O	1.0
93.632	0.35	stopfail	0.441	Go_O	0.0
96.156	1.0	go	0.494	Go_X	1.0
98.68	1.0	go	0.454	Go_O	1.0
101.204	0.3	stopsuccess	0.0	Go_X	1.0
103.728	1.0	go	0.602	Go_O	0.0
106.252	1.0	go	0.411	Go_X	1.0
108.776	0.35	stopfail	0.374	Go_O	0.0
111.301	1.0	go	0.493	Go_X	1.0
113.825	1.0	go	0.506	Go_O	1.0
116.349	1.0	go	0.674	Go_O	1.0
118.873	1.0	go	0.48	Go_X	1.0
121.397	1.0	go	0.869	Go_O	1.0
123.921	0.3	stopsuccess	0.0	Go_X	1.0
126.446	1.0	go	0.575	Go_X	1.0
128.97	1.0	go	0.603	Go_X	1.0
131.494	1.0	go	0.619	Go_O	1.0
134.018	1.0	go	0.554	Go_O	1.0
136.542	1.0	go	0.442	Go_X	1.0
139.066	0.35	stopfail	0.533	Go_O	0.0
141.591	1.0	go	0.596	Go_X	1.0
144.115	1.0	go	0.473	Go_O	1.0
146.639	1.0	go	0.57	Go_X	1.0
149.163	1.0	go	0.586	Go_O	1.0
151.687	1.0	go	0.669	Go_X	1.0
154.211	1.0	go	0.553	Go_O	1.0
156.736	0.3	stopsuccess	0.0	Go_X	1.0
159.26	1.0	go	0.598	Go_X	1.0
161.784	1.0	go	0.544	Go_O	1.0
164.308	0.35	stopsuccess	0.0	Go_O	1.0
166.832	1.0	go	0.404	Go_X	1.0
169.356	0.4	stopfail	0.513	Go_X	0.0
171.881	0.35	stopfail	0.421	Go_O	0.0
174.405	1.0	go	0.591	Go_O	1.0
176.929	1.0	go	0.543	Go_O	1.0
179.453	1.0	go	0.502	Go_X	1.0
181.977	1.0	go	0.919	Go_O	1.0
184.501	0.3	stopfail	0.512	Go_X	0.0
187.025	1.0	go	0.82	Go_X	1.0
189.55	0.25	stopsuccess	0.0	Go_O	1.0
192.074	1.0	go	0.714	Go_X	1.0
194.598	1.0	go	0.536	Go_O	1.0
197.122	1.0	go	0.656	Go_O	1.0
199.646	1.0	go	0.662	Go_X	1.0
202.17	1.0	go	0.0	Go_O	0.0
204.695	1.0	go	0.524	Go_X	1.0
207.219	1.0	go	0.492	Go_O	1.0
209.743	1.0	go	0.505	Go_X	1.0
212.267	1.0	go	0.717	Go_X	0.0
214.791	0.3	stopfail	0.481	Go_X	0.0
217.315	1.0	go	0.545	Go_O	1.0
219.84	1.0	go	0.446	Go_X	1.0
222.364	1.0	go	0.539	Go_O	1.0
224.888	0.25	stopsuccess	0.0	Go_O	1.0
227.412	1.0	go	0.409	Go_O	1.0
229.936	1.0	go	0.468	Go_X	1.0
232.46	1.0	go	0.459	Go_X	1.0
234.985	1.0	go	0.539	Go_O	1.0
237.509	1.0	go	0.5	Go_O	1.0
240.033	1.0	go	0.725	Go_X	1.0
242.557	0.3	stopsuccess	0.0	Go_X	1.0
245.081	1.0	go	0.331	Go_X	1.0
247.605	1.0	go	0.606	Go_O	1.0
250.129	0.35	stopsuccess	0.0	Go_O	1.0
252.654	1.0	go	0.707	Go_O	1.0
255.178	1.0	go	0.699	Go_X	1.0
257.702	0.4	stopsuccess	0.0	Go_X	1.0
260.226	1.0	go	0.404	Go_X	1.0
262.75	0.45	stopfail	0.566	Go_O	0.0
265.274	1.0	go	0.515	Go_O	1.0
267.799	1.0	go	0.455	Go_O	1.0
270.323	1.0	go	0.78	Go_X	1.0
272.847	1.0	go	0.574	Go_X	1.0
275.371	1.0	go	0.677	Go_O	1.0
277.895	0.4	stopfail	0.58	Go_X	0.0
280.419	0.35	stopsuccess	0.0	Go_O	1.0
282.944	1.0	go	0.754	Go_O	1.0
285.468	1.0	go	0.475	Go_X	1.0
287.992	0.4	stopfail	0.466	Go_X	0.0
290.516	1.0	go	0.458	Go_X	1.0
293.04	1.0	go	0.48	Go_O	1.0
295.564	1.0	go	0.511	Go_X	1.0
298.089	1.0	go	0.627	Go_O	1.0
300.613	1.0	go	0.648	Go_X	1.0
303.137	1.0	go	0.997	Go_O	1.0
305.661	0.35	stopfail	0.461	Go_O	0.0
308.185	1.0	go	0.452	Go_X	1.0
310.709	1.0	go	0.435	Go_O	1.0
313.234	1.0	go	0.407	Go_X	1.0
315.758	1.0	go	0.591	Go_O	1.0
318.282	1.0	go	0.477	Go_X	1.0
320.806	0.3	stopsuccess	0.0	Go_X	1.0
323.33	1.0	go	0.425	Go_O	1.0
325.854	1.0	go	0.56	Go_X	1.0
328.378	1.0	go	0.564	Go_O	1.0
330.903	1.0	go	0.414	Go_O	1.0
333.427	0.35	stopfail	0.56	Go_O	0.0
335.951	1.0	go	0.375	Go_X	1.0
