onset	duration	trial_type	response_time	stim_file	accuracy
73.422	1.0	go	0.0	Go_X	0.0
77.15	1.0	go	0.0	Go_O	0.0
79.674	1.0	go	0.0	Go_X	0.0
82.215	1.0	go	0.0	Go_O	0.0
84.756	1.0	go	0.0	Go_X	0.0
87.297	1.0	go	0.0	Go_O	0.0
89.939	0.25	stop	0.0	Go_O	1.0
92.68	1.0	go	0.0	Go_X	0.0
95.221	0.3	stop	0.0	Go_X	1.0
99.133	1.0	go	0.476	Go_O	1.0
101.674	1.0	go	0.0	Go_X	0.0
104.215	1.0	go	0.368	Go_O	1.0
106.739	0.35	stop	0.0	Go_O	1.0
109.28	1.0	go	0.365	Go_O	1.0
111.821	1.0	go	0.415	Go_X	1.0
114.362	0.4	stop	0.0	Go_X	1.0
116.903	0.45	stop	0.449	Go_O	0.0
119.444	1.0	go	0.448	Go_X	1.0
121.985	1.0	go	0.728	Go_O	1.0
124.509	0.4	stop	0.0	Go_X	1.0
127.05	1.0	go	0.551	Go_X	1.0
129.591	1.0	go	0.65	Go_O	1.0
132.132	0.45	stop	0.0	Go_O	1.0
134.689	1.0	go	0.473	Go_O	1.0
137.214	1.0	go	0.633	Go_X	1.0
139.755	0.5	stop	0.0	Go_X	1.0
142.296	1.0	go	0.41	Go_X	1.0
144.837	1.0	go	0.705	Go_O	1.0
147.378	0.55	stop	0.0	Go_O	1.0
149.918	1.0	go	0.372	Go_X	1.0
152.443	1.0	go	0.582	Go_O	1.0
154.984	1.0	go	0.806	Go_X	1.0
157.525	1.0	go	0.636	Go_O	1.0
160.049	1.0	go	0.617	Go_X	1.0
162.59	0.6	stop	0.0	Go_X	1.0
165.131	1.0	go	0.659	Go_O	1.0
167.672	1.0	go	0.675	Go_O	1.0
170.213	1.0	go	0.519	Go_X	1.0
172.754	1.0	go	0.553	Go_X	1.0
175.295	1.0	go	0.723	Go_O	1.0
177.835	0.65	stop	0.623	Go_O	0.0
180.376	1.0	go	0.701	Go_O	1.0
182.917	1.0	go	0.509	Go_X	1.0
185.442	1.0	go	0.741	Go_O	1.0
188.049	1.0	go	0.799	Go_X	1.0
190.59	1.0	go	0.823	Go_X	1.0
193.115	1.0	go	0.753	Go_O	1.0
195.639	0.6	stop	0.0	Go_X	1.0
198.18	1.0	go	0.778	Go_O	1.0
200.721	1.0	go	0.805	Go_X	1.0
203.245	0.65	stop	0.69	Go_O	0.0
205.836	1.0	go	0.618	Go_X	1.0
208.36	0.6	stop	0.538	Go_X	0.0
210.901	0.55	stop	0.0	Go_O	1.0
213.442	1.0	go	0.556	Go_O	1.0
215.983	1.0	go	0.975	Go_X	1.0
218.524	1.0	go	0.559	Go_O	1.0
221.065	1.0	go	0.854	Go_X	1.0
223.589	0.6	stop	0.0	Go_X	1.0
226.13	1.0	go	0.723	Go_O	1.0
228.671	0.65	stop	0.0	Go_O	1.0
231.212	1.0	go	0.553	Go_X	1.0
233.753	1.0	go	0.74	Go_O	0.0
236.294	1.0	go	0.446	Go_O	1.0
238.835	1.0	go	0.761	Go_X	1.0
241.359	1.0	go	0.813	Go_X	1.0
243.9	1.0	go	0.938	Go_O	1.0
246.441	1.0	go	0.842	Go_O	1.0
248.999	1.0	go	0.985	Go_X	1.0
251.54	1.0	go	0.529	Go_X	1.0
254.081	0.7	stop	0.591	Go_X	0.0
256.622	1.0	go	0.59	Go_O	1.0
259.146	1.0	go	0.765	Go_O	1.0
261.687	1.0	go	0.76	Go_X	1.0
264.211	0.65	stop	0.676	Go_O	0.0
266.752	1.0	go	0.57	Go_X	1.0
269.293	1.0	go	0.669	Go_O	1.0
271.834	1.0	go	0.699	Go_O	1.0
274.358	1.0	go	0.61	Go_X	1.0
276.899	1.0	go	0.609	Go_O	0.0
279.423	1.0	go	0.996	Go_X	1.0
281.964	0.6	stop	0.547	Go_X	0.0
284.505	1.0	go	0.0	Go_X	0.0
287.029	1.0	go	0.424	Go_O	1.0
289.571	0.55	stop	0.702	Go_O	0.0
292.111	1.0	go	0.466	Go_X	1.0
294.652	1.0	go	0.636	Go_O	1.0
297.193	0.5	stop	0.0	Go_X	1.0
299.734	1.0	go	0.572	Go_X	1.0
302.258	0.55	stop	0.514	Go_O	0.0
304.799	1.0	go	0.392	Go_O	1.0
307.324	1.0	go	0.512	Go_O	1.0
309.848	1.0	go	0.827	Go_X	1.0
312.372	1.0	go	0.813	Go_O	1.0
314.913	1.0	go	0.65	Go_X	1.0
317.437	0.5	stop	0.0	Go_X	1.0
319.962	0.55	stop	0.0	Go_O	1.0
322.502	1.0	go	0.682	Go_O	1.0
325.044	1.0	go	0.703	Go_X	1.0
327.568	0.6	stop	0.756	Go_X	0.0
330.276	1.0	go	0.791	Go_O	1.0
332.8	1.0	go	0.793	Go_X	1.0
335.341	1.0	go	0.0	Go_O	0.0
337.882	1.0	go	0.673	Go_X	1.0
340.406	1.0	go	0.713	Go_X	1.0
342.93	1.0	go	0.606	Go_O	1.0
345.471	0.55	stop	0.662	Go_O	0.0
348.012	1.0	go	0.892	Go_O	1.0
350.553	1.0	go	0.556	Go_X	1.0
353.094	1.0	go	0.579	Go_O	1.0
355.618	1.0	go	0.85	Go_X	1.0
358.143	1.0	go	0.737	Go_X	1.0
360.684	0.5	stop	0.553	Go_X	0.0
363.225	1.0	go	0.798	Go_O	1.0
365.766	1.0	go	0.991	Go_X	1.0
368.29	1.0	go	0.742	Go_O	1.0
370.847	1.0	go	0.89	Go_O	1.0
373.372	0.45	stop	0.474	Go_O	0.0
375.913	1.0	go	0.724	Go_X	1.0
378.454	1.0	go	0.0	Go_O	0.0
380.995	0.4	stop	0.0	Go_X	1.0
383.535	1.0	go	0.0	Go_X	0.0
386.06	0.45	stop	0.502	Go_O	0.0
388.601	1.0	go	0.0	Go_O	0.0
391.142	1.0	go	0.533	Go_X	1.0
393.666	1.0	go	0.594	Go_O	1.0
396.207	1.0	go	0.819	Go_X	0.0
398.731	1.0	go	0.507	Go_X	1.0
401.255	1.0	go	0.688	Go_O	1.0
403.779	1.0	go	0.671	Go_X	1.0
406.32	0.4	stop	0.0	Go_X	1.0
408.861	1.0	go	0.814	Go_O	1.0
411.402	1.0	go	0.902	Go_X	1.0
413.943	1.0	go	0.913	Go_O	1.0
416.484	0.45	stop	0.555	Go_O	0.0
419.025	1.0	go	0.815	Go_O	1.0
421.549	1.0	go	0.702	Go_X	1.0
424.09	1.0	go	0.919	Go_X	1.0
426.615	1.0	go	0.693	Go_O	1.0
429.156	0.4	stop	0.0	Go_X	1.0
431.697	1.0	go	0.75	Go_X	1.0
434.221	1.0	go	0.0	Go_O	0.0
436.762	0.45	stop	0.432	Go_O	0.0
439.303	1.0	go	0.546	Go_O	1.0
441.827	1.0	go	0.512	Go_X	1.0
444.368	0.4	stop	0.0	Go_X	1.0
446.909	1.0	go	0.776	Go_O	1.0
449.433	1.0	go	0.668	Go_X	1.0
451.974	0.45	stop	0.0	Go_O	1.0
454.515	1.0	go	0.702	Go_X	1.0
457.056	1.0	go	0.728	Go_O	1.0
459.597	1.0	go	0.745	Go_O	1.0
462.121	1.0	go	0.639	Go_X	1.0
464.662	1.0	go	0.0	Go_X	0.0
467.186	1.0	go	0.512	Go_O	1.0
469.711	0.5	stop	0.0	Go_X	1.0
472.251	1.0	go	0.865	Go_O	1.0
474.792	0.55	stop	0.0	Go_O	1.0
477.333	1.0	go	0.763	Go_X	1.0
479.858	1.0	go	0.923	Go_O	1.0
482.399	1.0	go	0.0	Go_X	0.0
484.923	1.0	go	0.0	Go_O	0.0
487.447	1.0	go	0.565	Go_X	1.0
489.988	0.6	stop	0.96	Go_X	0.0
492.562	1.0	go	0.0	Go_O	0.0
495.087	1.0	go	0.785	Go_X	1.0
497.628	1.0	go	0.582	Go_O	1.0
500.169	0.55	stop	0.535	Go_O	0.0
502.693	0.5	stop	0.56	Go_X	0.0
505.234	0.45	stop	0.0	Go_O	1.0
507.775	1.0	go	0.476	Go_X	1.0
510.316	0.5	stop	0.0	Go_X	1.0
512.857	1.0	go	0.511	Go_X	1.0
515.397	1.0	go	0.937	Go_O	1.0
517.938	1.0	go	0.864	Go_X	1.0
520.479	1.0	go	0.0	Go_O	0.0
523.02	1.0	go	0.449	Go_O	1.0
525.561	1.0	go	0.713	Go_X	1.0
528.102	1.0	go	0.75	Go_O	1.0
530.626	1.0	go	0.677	Go_X	1.0
533.167	0.55	stop	0.0	Go_O	1.0
535.708	1.0	go	0.0	Go_O	0.0
538.233	1.0	go	0.0	Go_X	0.0
540.774	0.6	stop	0.712	Go_X	0.0
543.331	1.0	go	0.882	Go_X	1.0
545.856	1.0	go	0.668	Go_O	1.0
548.38	1.0	go	0.866	Go_X	1.0
550.921	1.0	go	0.759	Go_O	1.0
553.462	1.0	go	0.984	Go_X	1.0
556.003	0.55	stop	0.0	Go_O	1.0
559.045	1.0	go	0.917	Go_O	1.0
561.586	1.0	go	0.518	Go_O	1.0
564.127	1.0	go	0.765	Go_X	1.0
566.651	0.6	stop	0.0	Go_X	1.0
569.192	1.0	go	0.459	Go_X	1.0
571.716	0.65	stop	0.621	Go_O	0.0
574.241	1.0	go	0.866	Go_O	1.0
576.782	1.0	go	0.0	Go_O	0.0
579.322	1.0	go	0.86	Go_X	1.0
581.863	1.0	go	0.935	Go_O	1.0
584.388	1.0	go	0.0	Go_X	0.0
586.929	1.0	go	0.835	Go_O	1.0
589.453	1.0	go	0.0	Go_X	0.0
591.994	0.6	stop	0.0	Go_X	1.0
594.535	1.0	go	0.616	Go_O	1.0
597.076	1.0	go	0.0	Go_X	0.0
599.617	1.0	go	0.408	Go_O	1.0
602.141	1.0	go	0.621	Go_X	1.0
604.665	0.65	stop	0.664	Go_O	0.0
607.206	1.0	go	0.0	Go_O	0.0
609.73	0.6	stop	0.544	Go_X	0.0
612.271	1.0	go	0.953	Go_X	1.0
614.812	1.0	go	0.432	Go_X	1.0
619.727	0.55	stop	0.726	Go_O	0.0
622.452	1.0	go	0.588	Go_O	1.0
624.993	1.0	go	0.955	Go_O	1.0
627.534	1.0	go	0.596	Go_X	1.0
630.075	1.0	go	0.875	Go_X	1.0
632.616	1.0	go	0.795	Go_O	1.0
635.157	1.0	go	0.762	Go_O	1.0
637.697	1.0	go	0.679	Go_X	1.0
640.238	1.0	go	0.648	Go_X	1.0
642.779	1.0	go	0.719	Go_O	1.0
645.32	1.0	go	0.605	Go_O	1.0
647.845	0.5	stop	0.673	Go_X	0.0
650.386	1.0	go	0.639	Go_X	1.0
652.91	1.0	go	0.673	Go_O	1.0
655.451	0.45	stop	0.0	Go_O	1.0
657.992	1.0	go	0.682	Go_X	1.0
660.533	0.5	stop	0.589	Go_X	0.0
663.074	1.0	go	0.665	Go_X	1.0
665.598	1.0	go	0.0	Go_O	0.0
668.139	0.45	stop	0.0	Go_O	1.0
670.68	1.0	go	0.832	Go_X	1.0
673.221	0.5	stop	0.0	Go_X	1.0
675.762	1.0	go	0.457	Go_O	1.0
678.303	1.0	go	0.0	Go_O	0.0
680.843	1.0	go	0.0	Go_X	0.0
683.368	0.55	stop	0.406	Go_O	0.0
685.909	1.0	go	0.628	Go_O	1.0
688.45	1.0	go	0.718	Go_X	1.0
690.991	1.0	go	0.879	Go_X	1.0
693.532	1.0	go	0.0	Go_O	0.0
696.072	0.5	stop	0.0	Go_X	1.0
698.613	1.0	go	0.507	Go_X	1.0
701.138	1.0	go	0.0	Go_O	0.0
703.679	0.55	stop	0.578	Go_O	0.0
706.22	1.0	go	0.596	Go_X	1.0
708.761	1.0	go	0.0	Go_O	0.0
711.301	1.0	go	0.943	Go_X	1.0
713.842	1.0	go	0.0	Go_O	0.0
716.383	0.5	stop	0.61	Go_X	0.0
718.924	1.0	go	0.714	Go_X	1.0
721.465	0.45	stop	0.0	Go_O	1.0
724.006	1.0	go	0.754	Go_O	1.0
726.53	1.0	go	0.777	Go_O	1.0
729.055	0.5	stop	0.0	Go_X	1.0
731.596	1.0	go	0.574	Go_X	1.0
734.137	1.0	go	0.0	Go_O	0.0
736.678	1.0	go	0.609	Go_X	1.0
739.219	1.0	go	0.0	Go_O	0.0
741.759	0.55	stop	0.559	Go_O	0.0
744.3	1.0	go	0.518	Go_X	1.0
746.825	0.5	stop	0.569	Go_X	0.0
749.366	1.0	go	0.584	Go_X	1.0
751.89	1.0	go	0.513	Go_O	1.0
754.431	1.0	go	0.509	Go_O	1.0
756.955	1.0	go	0.802	Go_X	1.0
759.496	1.0	go	0.614	Go_X	1.0
762.037	1.0	go	0.785	Go_O	1.0
764.561	0.45	stop	0.0	Go_O	1.0
767.319	1.0	go	0.539	Go_X	1.0
769.86	1.0	go	0.996	Go_O	1.0
772.401	0.5	stop	0.0	Go_X	1.0
774.942	1.0	go	0.713	Go_O	1.0
777.483	1.0	go	0.0	Go_X	0.0
780.007	0.55	stop	0.47	Go_O	0.0
782.548	1.0	go	0.626	Go_O	1.0
785.089	1.0	go	0.601	Go_X	1.0
787.63	1.0	go	0.612	Go_X	1.0
790.171	1.0	go	0.0	Go_O	0.0
792.712	0.5	stop	0.689	Go_X	0.0
795.253	1.0	go	0.739	Go_X	1.0
797.794	0.45	stop	0.0	Go_O	1.0
800.318	1.0	go	0.763	Go_O	1.0
802.859	1.0	go	0.0	Go_X	0.0
805.4	1.0	go	0.879	Go_O	1.0
807.941	1.0	go	0.926	Go_X	1.0
810.482	1.0	go	0.798	Go_O	1.0
813.006	0.5	stop	0.0	Go_X	1.0
815.547	1.0	go	0.0	Go_X	0.0
818.072	1.0	go	0.062	Go_O	0.0
820.613	0.55	stop	0.0	Go_O	1.0
823.153	0.6	stop	0.512	Go_X	0.0
825.694	1.0	go	0.451	Go_X	1.0
828.219	1.0	go	0.596	Go_O	1.0
830.76	1.0	go	0.0	Go_O	0.0
833.301	1.0	go	0.654	Go_X	1.0
835.841	0.55	stop	0.0	Go_O	1.0
838.382	1.0	go	0.801	Go_X	1.0
