onset	duration	trial_type	response_time	stim_file	accuracy
52.707	1.0	go	0.703	Go_X	1.0
55.247	1.0	go	0.421	Go_O	1.0
57.772	1.0	go	0.337	Go_O	1.0
60.313	1.0	go	0.357	Go_X	1.0
62.837	1.0	go	0.39	Go_O	1.0
65.361	1.0	go	0.372	Go_X	1.0
67.885	0.25	stop	0.351	Go_O	0.0
70.409	1.0	go	0.42	Go_X	1.0
72.934	0.2	stop	0.0	Go_X	1.0
75.475	1.0	go	0.27	Go_O	1.0
77.999	1.0	go	0.349	Go_O	1.0
80.523	1.0	go	0.385	Go_X	1.0
83.047	0.25	stop	0.361	Go_O	0.0
85.571	1.0	go	0.401	Go_O	1.0
88.096	1.0	go	0.605	Go_X	1.0
90.62	0.2	stop	0.0	Go_X	1.0
93.161	0.25	stop	0.269	Go_O	0.0
95.702	1.0	go	0.411	Go_X	1.0
98.242	1.0	go	0.35	Go_O	1.0
100.767	0.2	stop	0.0	Go_X	1.0
103.308	1.0	go	0.474	Go_X	1.0
105.832	1.0	go	0.631	Go_O	1.0
108.356	0.25	stop	0.355	Go_O	0.0
110.88	1.0	go	0.33	Go_X	1.0
113.404	1.0	go	0.297	Go_O	1.0
115.929	0.2	stop	0.0	Go_X	1.0
118.47	1.0	go	0.403	Go_X	1.0
120.994	1.0	go	0.633	Go_O	1.0
123.518	0.25	stop	0.0	Go_O	1.0
126.059	1.0	go	0.414	Go_O	1.0
128.583	1.0	go	0.391	Go_X	1.0
131.107	1.0	go	0.459	Go_O	1.0
133.632	1.0	go	0.437	Go_X	1.0
136.156	1.0	go	0.435	Go_X	1.0
138.68	0.3	stop	0.0	Go_X	1.0
141.221	1.0	go	0.373	Go_O	1.0
143.762	1.0	go	0.332	Go_O	1.0
146.286	1.0	go	0.4	Go_X	1.0
148.81	1.0	go	0.304	Go_O	1.0
151.334	1.0	go	0.28	Go_X	1.0
153.875	0.35	stop	0.321	Go_O	0.0
156.416	1.0	go	0.344	Go_O	1.0
158.94	1.0	go	0.357	Go_X	1.0
161.465	1.0	go	0.316	Go_O	1.0
163.989	1.0	go	0.286	Go_X	1.0
166.513	1.0	go	0.57	Go_O	1.0
169.037	1.0	go	0.301	Go_X	1.0
171.561	0.3	stop	0.0	Go_X	1.0
174.086	1.0	go	0.29	Go_O	1.0
176.61	1.0	go	0.35	Go_X	1.0
179.134	0.35	stop	0.459	Go_O	0.0
181.675	1.0	go	0.345	Go_O	1.0
184.199	0.3	stop	0.365	Go_X	0.0
186.74	0.25	stop	0.312	Go_O	0.0
189.281	1.0	go	0.344	Go_X	1.0
191.805	1.0	go	0.523	Go_X	1.0
194.329	1.0	go	0.418	Go_O	1.0
196.854	1.0	go	0.308	Go_O	1.0
199.378	0.2	stop	0.36	Go_X	0.0
201.919	1.0	go	0.563	Go_X	1.0
204.443	0.15	stop	0.0	Go_O	1.0
206.984	1.0	go	0.391	Go_X	1.0
209.508	1.0	go	0.392	Go_O	1.0
212.049	1.0	go	0.441	Go_X	1.0
214.573	1.0	go	0.529	Go_O	1.0
217.097	1.0	go	0.362	Go_O	1.0
219.622	1.0	go	0.286	Go_X	1.0
222.146	1.0	go	0.257	Go_O	1.0
224.67	1.0	go	0.416	Go_X	1.0
227.194	1.0	go	0.431	Go_O	1.0
229.718	0.2	stop	0.0	Go_X	1.0
232.259	1.0	go	0.476	Go_X	1.0
234.783	1.0	go	0.393	Go_O	1.0
237.324	1.0	go	0.352	Go_X	1.0
239.849	0.25	stop	0.35	Go_O	0.0
242.39	1.0	go	0.522	Go_X	1.0
244.914	1.0	go	0.328	Go_O	1.0
247.455	1.0	go	0.417	Go_X	1.0
249.979	1.0	go	0.339	Go_O	1.0
252.503	1.0	go	0.376	Go_O	1.0
255.027	1.0	go	0.423	Go_X	1.0
257.551	0.2	stop	0.0	Go_X	1.0
260.092	1.0	go	0.439	Go_X	1.0
262.617	1.0	go	0.432	Go_O	1.0
265.158	0.25	stop	0.0	Go_O	1.0
267.698	1.0	go	0.4	Go_X	1.0
270.239	1.0	go	0.449	Go_O	1.0
272.764	0.3	stop	0.496	Go_X	0.0
275.304	1.0	go	0.537	Go_X	1.0
277.829	0.25	stop	0.0	Go_O	1.0
280.37	1.0	go	0.767	Go_O	1.0
282.894	1.0	go	0.634	Go_X	1.0
285.435	1.0	go	0.493	Go_O	1.0
287.976	1.0	go	0.637	Go_X	1.0
290.5	1.0	go	0.547	Go_O	1.0
293.024	0.3	stop	0.424	Go_X	0.0
295.565	0.25	stop	0.0	Go_O	1.0
298.106	1.0	go	0.436	Go_X	1.0
300.647	1.0	go	0.43	Go_O	1.0
303.171	0.3	stop	0.0	Go_X	1.0
305.712	1.0	go	0.487	Go_X	1.0
308.236	1.0	go	0.66	Go_O	1.0
310.76	1.0	go	0.341	Go_O	1.0
313.285	1.0	go	0.481	Go_X	1.0
315.809	1.0	go	0.441	Go_O	1.0
318.333	1.0	go	0.383	Go_X	1.0
320.874	0.35	stop	0.478	Go_O	0.0
323.415	1.0	go	0.43	Go_O	1.0
325.939	1.0	go	0.743	Go_X	1.0
328.463	1.0	go	0.567	Go_O	1.0
330.987	1.0	go	0.614	Go_X	1.0
333.512	1.0	go	0.378	Go_X	1.0
336.036	0.3	stop	0.325	Go_X	0.0
338.577	1.0	go	0.369	Go_O	1.0
341.101	1.0	go	0.439	Go_X	1.0
343.625	1.0	go	0.419	Go_O	1.0
346.149	1.0	go	0.673	Go_O	1.0
348.674	0.25	stop	0.316	Go_O	0.0
351.198	1.0	go	0.349	Go_X	1.0
353.722	1.0	go	0.363	Go_O	1.0
356.246	0.2	stop	0.0	Go_X	1.0
358.787	1.0	go	0.496	Go_X	1.0
361.311	0.25	stop	0.285	Go_O	0.0
363.835	1.0	go	0.348	Go_X	1.0
366.36	1.0	go	0.274	Go_O	1.0
368.884	1.0	go	0.354	Go_X	1.0
371.408	1.0	go	0.409	Go_O	1.0
373.932	1.0	go	0.331	Go_X	1.0
