onset	duration	trial_type	response_time	stim_file	accuracy
42.457	1.0	go	0.864	Go_O	1.0
44.981	1.0	go	0.503	Go_X	1.0
47.505	1.0	go	0.484	Go_O	1.0
50.029	1.0	go	0.486	Go_X	1.0
52.554	1.0	go	0.608	Go_X	1.0
55.078	1.0	go	0.523	Go_O	1.0
57.602	0.25	stop	0.0	Go_O	1.0
60.126	1.0	go	0.445	Go_X	1.0
62.65	0.3	stop	0.46	Go_X	0.0
65.175	1.0	go	0.502	Go_O	1.0
67.699	1.0	go	0.446	Go_X	1.0
70.223	1.0	go	0.53	Go_O	1.0
72.747	0.25	stop	0.0	Go_O	1.0
75.272	1.0	go	0.384	Go_X	1.0
77.796	1.0	go	0.582	Go_O	1.0
80.32	0.3	stop	0.422	Go_X	0.0
82.844	0.25	stop	0.0	Go_O	1.0
85.368	1.0	go	0.47	Go_O	1.0
87.893	1.0	go	0.469	Go_X	1.0
90.417	0.3	stop	0.0	Go_X	1.0
92.941	1.0	go	0.586	Go_X	1.0
95.465	1.0	go	0.492	Go_O	1.0
97.989	0.35	stop	0.0	Go_O	1.0
100.514	1.0	go	0.559	Go_O	1.0
103.038	1.0	go	0.468	Go_X	1.0
105.562	0.4	stop	0.437	Go_X	0.0
108.086	1.0	go	0.502	Go_O	1.0
110.611	1.0	go	0.775	Go_X	1.0
113.135	0.35	stop	0.414	Go_O	0.0
115.659	1.0	go	0.699	Go_O	1.0
118.183	1.0	go	0.481	Go_X	1.0
120.707	1.0	go	0.536	Go_O	1.0
123.232	1.0	go	0.418	Go_X	1.0
125.756	1.0	go	0.581	Go_O	1.0
128.28	0.3	stop	0.398	Go_X	0.0
130.804	1.0	go	0.656	Go_X	1.0
133.328	1.0	go	0.589	Go_O	1.0
135.853	1.0	go	0.453	Go_X	1.0
138.377	1.0	go	0.593	Go_X	1.0
140.901	1.0	go	0.621	Go_O	1.0
143.425	0.25	stop	0.0	Go_O	1.0
145.95	1.0	go	0.346	Go_O	1.0
148.474	1.0	go	0.404	Go_X	1.0
150.998	1.0	go	0.396	Go_O	1.0
153.522	1.0	go	0.417	Go_X	1.0
156.046	1.0	go	0.483	Go_X	1.0
158.571	1.0	go	0.508	Go_O	1.0
161.095	0.3	stop	0.447	Go_X	0.0
163.619	1.0	go	0.43	Go_O	1.0
166.143	1.0	go	0.625	Go_X	1.0
168.667	0.25	stop	0.356	Go_O	0.0
171.192	1.0	go	0.244	Go_X	1.0
173.716	0.2	stop	0.0	Go_X	1.0
176.24	0.25	stop	0.275	Go_O	0.0
178.764	1.0	go	0.757	Go_O	1.0
181.289	1.0	go	0.475	Go_O	1.0
183.813	1.0	go	0.354	Go_X	1.0
186.337	1.0	go	0.584	Go_X	1.0
188.861	0.2	stop	0.307	Go_X	0.0
191.385	1.0	go	0.478	Go_O	1.0
193.91	0.15	stop	0.0	Go_O	1.0
196.434	1.0	go	0.601	Go_O	1.0
198.958	1.0	go	0.315	Go_X	1.0
201.482	1.0	go	0.323	Go_X	1.0
