onset	duration	trial_type	response_time	stim_file	accuracy
69.292	1.0	go	0.0	Go_X	0.0
71.816	1.0	go	0.498	Go_O	1.0
74.341	1.0	go	0.355	Go_O	1.0
76.865	1.0	go	0.412	Go_X	1.0
79.389	1.0	go	0.473	Go_O	1.0
81.913	1.0	go	0.445	Go_X	1.0
84.437	0.25	stop	0.345	Go_O	0.0
86.962	1.0	go	0.479	Go_O	1.0
89.486	0.2	stop	0.0	Go_X	1.0
92.01	1.0	go	0.49	Go_X	0.0
94.534	1.0	go	0.648	Go_X	1.0
97.058	1.0	go	0.351	Go_O	1.0
99.583	0.25	stop	0.433	Go_O	0.0
102.107	1.0	go	0.512	Go_O	1.0
104.631	1.0	go	0.578	Go_X	1.0
107.155	0.2	stop	0.0	Go_X	1.0
109.679	0.25	stop	0.0	Go_O	1.0
112.22	1.0	go	0.52	Go_O	1.0
114.745	1.0	go	0.504	Go_X	1.0
117.269	0.3	stop	0.449	Go_X	0.0
119.793	1.0	go	0.394	Go_X	1.0
122.317	1.0	go	0.58	Go_O	1.0
124.841	0.25	stop	0.359	Go_O	0.0
127.382	1.0	go	0.48	Go_O	1.0
129.907	1.0	go	0.656	Go_X	1.0
132.431	0.2	stop	0.0	Go_X	1.0
134.955	1.0	go	0.297	Go_O	1.0
137.479	1.0	go	0.611	Go_X	1.0
140.003	0.25	stop	0.0	Go_O	1.0
142.528	1.0	go	0.535	Go_X	1.0
145.052	1.0	go	0.501	Go_O	1.0
147.576	1.0	go	0.448	Go_O	1.0
150.1	1.0	go	0.517	Go_X	1.0
152.625	1.0	go	0.562	Go_X	1.0
155.149	0.3	stop	0.444	Go_X	0.0
157.673	1.0	go	0.394	Go_O	1.0
160.197	1.0	go	0.45	Go_O	1.0
162.721	1.0	go	0.495	Go_X	1.0
165.246	1.0	go	0.625	Go_X	1.0
167.77	1.0	go	0.383	Go_O	1.0
170.294	0.25	stop	0.0	Go_O	1.0
172.818	1.0	go	0.494	Go_X	1.0
175.342	1.0	go	0.36	Go_O	1.0
177.867	1.0	go	0.34	Go_O	1.0
180.391	1.0	go	0.399	Go_X	1.0
182.915	1.0	go	0.696	Go_X	1.0
185.439	1.0	go	0.675	Go_O	1.0
187.964	0.3	stop	0.0	Go_X	1.0
190.488	1.0	go	0.322	Go_O	1.0
193.012	1.0	go	0.455	Go_X	1.0
195.536	0.35	stop	0.441	Go_O	0.0
198.06	1.0	go	0.502	Go_X	1.0
200.585	0.3	stop	0.0	Go_X	1.0
203.126	0.35	stop	0.298	Go_O	0.0
205.65	1.0	go	0.507	Go_O	1.0
208.174	1.0	go	0.518	Go_O	1.0
210.698	1.0	go	0.575	Go_X	1.0
213.222	1.0	go	0.452	Go_X	1.0
215.747	0.3	stop	0.366	Go_X	0.0
218.288	1.0	go	0.572	Go_O	1.0
220.812	0.25	stop	0.258	Go_O	0.0
223.336	1.0	go	0.483	Go_O	1.0
225.86	1.0	go	0.513	Go_X	1.0
228.384	1.0	go	0.336	Go_X	1.0
230.909	1.0	go	0.454	Go_O	1.0
233.433	1.0	go	0.526	Go_X	1.0
235.957	1.0	go	0.636	Go_O	1.0
238.481	1.0	go	0.564	Go_X	1.0
241.005	1.0	go	0.571	Go_O	1.0
243.53	1.0	go	0.756	Go_O	1.0
246.054	0.2	stop	0.0	Go_X	1.0
248.578	1.0	go	0.684	Go_X	1.0
251.102	1.0	go	0.621	Go_O	1.0
253.627	1.0	go	0.399	Go_X	1.0
256.151	0.25	stop	0.412	Go_O	0.0
258.675	1.0	go	0.45	Go_O	1.0
261.199	1.0	go	0.451	Go_X	1.0
263.723	1.0	go	0.457	Go_X	1.0
266.248	1.0	go	0.41	Go_O	1.0
268.772	1.0	go	0.414	Go_X	1.0
271.296	1.0	go	0.518	Go_O	1.0
273.82	0.2	stop	0.0	Go_X	1.0
