onset	duration	trial_type	response_time	stim_file	accuracy
81.256	1.0	go	0.988	Go_O	0.0
83.78	1.0	go	0.0	Go_X	0.0
86.304	1.0	go	0.66	Go_X	0.0
88.829	1.0	stopfail	0.419	Go_O	0.0
91.353	1.0	go	0.394	Go_O	1.0
93.877	1.0	go	0.742	Go_X	0.0
96.401	1.0	stopfail	0.466	Go_X	0.0
98.925	1.0	go	0.409	Go_O	0.0
101.449	1.0	go	0.468	Go_X	0.0
103.974	1.0	go	0.438	Go_O	0.0
106.498	1.0	go	0.423	Go_X	0.0
109.022	1.0	stopfail	0.466	Go_O	0.0
111.546	1.0	go	0.68	Go_O	0.0
114.07	1.0	stopfail	0.43	Go_X	0.0
116.595	1.0	go	0.487	Go_X	0.0
119.119	1.0	go	0.404	Go_O	0.0
121.643	1.0	go	0.428	Go_X	0.0
124.167	1.0	stopsuccess	0.0	Go_O	1.0
126.691	1.0	go	0.538	Go_O	0.0
129.215	1.0	go	0.461	Go_O	1.0
131.74	1.0	go	0.351	Go_X	0.0
134.264	1.0	go	0.321	Go_X	0.0
136.788	1.0	go	0.436	Go_O	0.0
139.312	1.0	go	0.526	Go_O	0.0
141.836	1.0	go	0.503	Go_X	0.0
144.361	1.0	stopsuccess	0.0	Go_X	1.0
146.885	1.0	go	0.359	Go_O	0.0
149.409	1.0	go	0.494	Go_X	0.0
151.933	1.0	stopsuccess	0.0	Go_O	1.0
154.457	1.0	go	0.618	Go_O	1.0
156.981	1.0	stopfail	0.688	Go_X	0.0
159.506	1.0	go	0.369	Go_X	0.0
162.03	1.0	go	0.545	Go_O	0.0
164.554	1.0	go	0.33	Go_X	0.0
167.078	1.0	go	0.239	Go_O	0.0
169.602	1.0	go	0.235	Go_X	0.0
172.127	1.0	go	0.398	Go_O	0.0
174.651	1.0	go	0.35	Go_X	0.0
177.175	1.0	go	0.651	Go_X	0.0
179.699	1.0	go	0.389	Go_O	0.0
182.223	1.0	go	0.726	Go_X	0.0
184.747	1.0	go	0.708	Go_O	0.0
187.272	1.0	go	0.814	Go_X	0.0
189.796	1.0	go	0.479	Go_O	1.0
192.32	1.0	stopfail	0.896	Go_O	0.0
194.844	1.0	stopfail	0.872	Go_X	0.0
197.368	1.0	stopfail	0.848	Go_O	0.0
199.893	1.0	go	0.366	Go_O	0.0
202.417	1.0	go	0.419	Go_X	0.0
204.941	1.0	go	0.593	Go_O	0.0
207.465	1.0	go	0.413	Go_X	0.0
209.989	1.0	go	0.454	Go_X	0.0
212.514	1.0	stopfail	0.701	Go_X	0.0
215.054	1.0	go	0.448	Go_O	1.0
217.579	1.0	go	0.636	Go_O	0.0
220.103	1.0	go	0.411	Go_X	0.0
222.627	1.0	stopfail	0.57	Go_O	0.0
225.168	1.0	stopfail	0.547	Go_X	0.0
227.709	1.0	go	0.38	Go_O	0.0
230.233	1.0	go	0.482	Go_X	0.0
232.757	1.0	go	0.458	Go_X	0.0
235.281	1.0	stopfail	0.434	Go_O	0.0
237.822	1.0	go	0.393	Go_O	0.0
240.346	1.0	go	0.368	Go_X	0.0
242.871	1.0	go	0.343	Go_O	0.0
245.395	1.0	go	0.319	Go_O	0.0
247.919	1.0	go	0.255	Go_X	0.0
250.443	1.0	go	0.27	Go_O	0.0
252.967	1.0	go	0.246	Go_X	0.0
255.491	1.0	go	0.222	Go_O	0.0
258.016	1.0	go	0.197	Go_X	0.0
260.54	1.0	stopfail	0.173	Go_X	0.0
263.081	1.0	go	0.132	Go_X	0.0
265.605	1.0	stopfail	0.108	Go_O	0.0
268.146	1.0	go	0.066	Go_O	0.0
270.67	1.0	go	0.042	Go_O	0.0
273.194	1.0	go	0.018	Go_X	0.0
275.718	1.0	stopsuccess	0.0	Go_X	1.0
278.259	1.0	go	0.633	Go_O	0.0
280.783	1.0	stopfail	0.46	Go_O	0.0
283.308	1.0	go	0.367	Go_X	0.0
285.832	1.0	go	0.665	Go_X	0.0
288.356	1.0	go	0.683	Go_O	0.0
290.88	1.0	stopsuccess	0.0	Go_X	1.0
293.421	1.0	go	0.663	Go_X	0.0
295.945	1.0	stopfail	0.393	Go_O	0.0
298.469	1.0	go	0.335	Go_O	0.0
300.994	1.0	go	0.591	Go_X	0.0
303.518	1.0	go	0.723	Go_O	0.0
306.042	1.0	go	0.573	Go_O	0.0
308.566	1.0	go	0.811	Go_X	0.0
311.09	1.0	go	0.505	Go_X	0.0
313.615	1.0	go	0.64	Go_O	0.0
316.139	1.0	go	0.3	Go_X	0.0
318.663	1.0	go	0.428	Go_O	0.0
321.187	1.0	stopfail	0.513	Go_X	0.0
323.728	1.0	go	0.323	Go_X	0.0
326.252	1.0	go	0.532	Go_O	0.0
328.776	1.0	stopsuccess	0.0	Go_O	1.0
331.317	1.0	go	0.685	Go_X	0.0
333.841	1.0	go	0.403	Go_O	1.0
336.366	1.0	go	0.668	Go_O	0.0
338.89	1.0	go	0.397	Go_X	0.0
341.414	1.0	go	0.262	Go_X	0.0
343.938	1.0	stopfail	0.552	Go_X	0.0
346.462	1.0	stopfail	0.652	Go_O	0.0
349.003	1.0	stopfail	0.405	Go_X	0.0
351.544	1.0	go	0.2	Go_O	0.0
354.068	1.0	stopfail	0.464	Go_O	0.0
356.609	1.0	stopfail	0.4	Go_X	0.0
359.15	1.0	go	0.237	Go_O	0.0
361.674	1.0	go	0.356	Go_X	0.0
364.198	1.0	stopfail	0.462	Go_O	0.0
366.739	1.0	go	0.536	Go_X	0.0
369.264	1.0	go	0.447	Go_O	0.0
371.788	1.0	go	0.374	Go_X	0.0
374.312	1.0	go	0.363	Go_O	0.0
376.836	1.0	go	0.763	Go_X	0.0
379.36	1.0	go	0.625	Go_O	1.0
381.884	1.0	go	0.815	Go_X	0.0
384.409	1.0	stopsuccess	0.0	Go_X	1.0
386.95	1.0	go	0.703	Go_O	0.0
389.474	1.0	go	0.481	Go_X	0.0
391.998	1.0	go	0.598	Go_O	0.0
394.522	1.0	stopfail	0.818	Go_O	0.0
397.046	1.0	go	0.441	Go_O	0.0
399.57	1.0	stopfail	0.443	Go_X	0.0
402.111	1.0	go	0.344	Go_X	0.0
404.636	1.0	stopfail	0.576	Go_O	0.0
407.176	1.0	go	0.447	Go_O	0.0
409.701	1.0	go	0.366	Go_X	0.0
412.225	1.0	go	0.402	Go_O	1.0
414.749	1.0	go	0.956	Go_X	0.0
417.273	1.0	go	0.472	Go_X	0.0
419.797	1.0	go	0.658	Go_O	0.0
422.322	1.0	stopfail	0.883	Go_X	0.0
424.862	1.0	go	0.838	Go_X	0.0
427.387	1.0	go	0.588	Go_O	1.0
429.911	1.0	go	0.794	Go_O	0.0
432.435	1.0	go	0.376	Go_X	0.0
434.959	1.0	stopfail	0.495	Go_O	0.0
437.5	1.0	stopfail	0.344	Go_X	0.0
440.041	1.0	stopfail	0.221	Go_O	0.0
442.582	1.0	go	0.449	Go_O	0.0
445.106	1.0	stopfail	0.369	Go_X	0.0
447.647	1.0	go	0.332	Go_X	0.0
450.171	1.0	stopfail	0.415	Go_O	0.0
452.712	1.0	go	0.492	Go_O	0.0
455.236	1.0	go	0.374	Go_X	0.0
457.76	1.0	go	0.444	Go_X	0.0
460.285	1.0	go	0.419	Go_O	0.0
462.809	1.0	stopfail	0.394	Go_X	0.0
465.35	1.0	stopfail	0.353	Go_O	0.0
467.891	1.0	go	0.312	Go_X	0.0
470.415	1.0	stopfail	0.288	Go_X	0.0
472.956	1.0	go	0.247	Go_O	0.0
475.48	1.0	go	0.223	Go_O	0.0
478.004	1.0	go	0.199	Go_X	0.0
480.528	1.0	go	0.175	Go_O	0.0
